opponent,result,win,loss,margin,location,opponent rating
Cincinnati,0,11,2,56,NEUTRAL,0.655429618417824
Connecticut,0,1,11,7,NEUTRAL,0.0489040710715356
South Florida,0,7,6,20,NEUTRAL,0.400887011838441
UCF,0,12,1,38,NEUTRAL,0.774701532567457
Duke,0,8,5,42,NEUTRAL,0.567534200408638
Georgia Tech,0,7,6,41,NEUTRAL,0.487344960542351
Miami FL,0,7,6,77,NEUTRAL,0.503470154008589
North Carolina,0,2,9,23,NEUTRAL,0.256631219072605
Pittsburgh,0,7,7,26,NEUTRAL,0.521348597019389
Virginia,0,8,5,29,NEUTRAL,0.562644906315841
Virginia Tech,0,6,7,45,NEUTRAL,0.430625847701096
Florida,0,10,3,47,NEUTRAL,0.692193350891771
Florida,0,10,3,53,NEUTRAL,0.692193350891771
Georgia,0,11,3,45,NEUTRAL,0.810867186758182
Kentucky,0,10,3,38,NEUTRAL,0.666913409286109
Missouri,0,8,5,37,NEUTRAL,0.675056331642552
South Carolina,0,7,6,40,NEUTRAL,0.514710547566948
Tennessee,0,5,7,56,NEUTRAL,0.422015962637634
Vanderbilt,0,6,7,4,NEUTRAL,0.509932850757502
Fresno St,0,12,2,66,NEUTRAL,0.717287526132863
Hawaii,0,8,6,21,NEUTRAL,0.408150406620541
Nevada,0,8,5,53,NEUTRAL,0.462549617874116
San Diego St,0,7,6,14,NEUTRAL,0.453631722244208
UNLV,0,4,8,29,NEUTRAL,0.252051625752559
Houston,0,8,5,56,NEUTRAL,0.479970439263144
Memphis,0,8,6,52,NEUTRAL,0.524851937999456
Navy,0,3,10,30,NEUTRAL,0.315103022448376
SMU,0,5,7,36,NEUTRAL,0.332345710726131
Tulane,0,7,6,25,NEUTRAL,0.446451273888092
Tulsa,0,3,9,11,NEUTRAL,0.241391716481203
Illinois,0,4,8,20,NEUTRAL,0.253418513765241
Iowa,0,9,4,24,NEUTRAL,0.662166177976944
Nebraska,0,4,8,36,NEUTRAL,0.415285209031898
Louisiana Tech,0,8,5,37,NEUTRAL,0.479172964225609
North Texas,0,9,4,42,NEUTRAL,0.541381233636251
Rice,0,2,11,3,NEUTRAL,0.0981415157038384
Southern Miss,0,6,5,48,NEUTRAL,0.357423567738257
UAB,0,11,3,52,NEUTRAL,0.56055806620704
