rank,team,winpercentage,rating,averageMOV,averageMOL,conference
70,SOUTHERN MISS,0.6,0.498276587864852,19.3333333333333,11,Conference USA West
71,NEW MEXICO,0.6,0.498164358437851,15,8,Mountain West Mountain
72,OHIO U,0.666666666666667,0.48817494860989,21.5,13,MAC East
73,WEST VIRGINIA,0.6,0.485908823107875,33.6666666666667,7,Big-12
74,TENNESSEE,0.6,0.482308111534581,13.3333333333333,23.5,SEC East
75,CALIFORNIA,0.5,0.481291925922465,9.66666666666667,20.6666666666667,PAC-12 North
76,KANSAS STATE,0.6,0.474974175354264,32.3333333333333,6.5,Big-12
77,AKRON,0.5,0.470883737258685,29.3333333333333,28,MAC East
78,BUFFALO,0.5,0.464318661275393,13.3333333333333,5.66666666666667,MAC East
79,NORTHWESTERN,0.4,0.464083462950494,26.5,19,Big-10 West
80,LOUISIANA TECH,0.5,0.459058680442179,15.6666666666667,12.6666666666667,Conference USA West
81,ULM,0.6,0.455532722114807,10.6666666666667,9.5,Sun Belt
82,SYRACUSE,0.5,0.450162489386319,23.3333333333333,8,ACC Atlantic
83,WYOMING,0.6,0.446546126497615,23,28.5,Mountain West Mountain
84,WESTERN KY,0.6,0.444827965073088,9,7,Conference USA East
85,ARIZONA STATE,0.4,0.440790066425958,4,9,PAC-12 South
86,UNLV,0.4,0.434436436653277,28,22.3333333333333,Mountain West West
87,FIU,0.6,0.430640888746112,4.66666666666667,32,Conference USA East
88,ARKANSAS,0.4,0.429764530661598,30,18,SEC West
89,BOSTON COLLEGE,0.333333333333333,0.428790783196338,11.5,23.25,ACC Atlantic
90,UTAH STATE,0.5,0.428245610128221,35,32.6666666666667,Mountain West Mountain
91,CINCINNATI,0.333333333333333,0.423983666215317,8,19.25,AAC-EAST
92,OLE MISS,0.4,0.421919202280881,21,31.6666666666667,SEC West
93,MIDDLE TENNESSEE,0.5,0.421873450283536,12.6666666666667,23.6666666666667,Conference USA East
94,EASTERN MICH,0.4,0.412103698959023,10,5.33333333333333,MAC West
95,TEMPLE,0.5,0.39960233171999,11.6666666666667,25.3333333333333,AAC-EAST
96,UAB,0.6,0.393303837982705,13,11.5,Conference USA West
97,PITTSBURGH,0.333333333333333,0.390297191760129,19.5,19.5,ACC Coastal
98,ILLINOIS,0.4,0.386623856006385,8,25,Big-10 West
99,ARKANSAS STATE,0.5,0.3849019493458,31.5,15,Sun Belt
100,MIAMI-OHIO,0.333333333333333,0.365023960889803,19,13,MAC East
101,RUTGERS,0.2,0.364257843890026,65,21.25,Big-10 East
102,AIR FORCE,0.2,0.363370322290095,62,10.25,Mountain West Mountain
103,TULSA,0.166666666666667,0.333444634379892,24,17,AAC-WEST
104,NEW MEXICO ST,0.333333333333333,0.318739192680026,14.5,10.25,Sun Belt
105,NORTH CAROLINA,0.166666666666667,0.316674684944105,30,15.2,ACC Coastal
106,CENTRAL MICH,0.5,0.308764047909202,8,20.3333333333333,MAC West
107,IDAHO,0.4,0.304996923729002,14,14,Sun Belt
108,BALL STATE,0.333333333333333,0.297534314727378,17.5,23.75,MAC West
109,MISSOURI,0.2,0.290972505589429,29,23.25,SEC East
110,LOUISIANA,0.4,0.290469968102596,4,18,Sun Belt
111,OREGON STATE,0.166666666666667,0.272966001666856,3,31.4,PAC-12 North
112,CONNECTICUT,0.25,0.270940113125902,7,26.6666666666667,AAC-EAST
113,NEVADA,0.166666666666667,0.267302952383968,14,16.8,Mountain West West
114,BYU,0.166666666666667,0.252260043774881,14,20,Independent
115,KENT STATE,0.166666666666667,0.234104557271005,7,29.6,MAC East
116,OLD DOMINION,0.4,0.232759378066621,12,32.6666666666667,Conference USA East
117,HAWAII,0.333333333333333,0.229500728470636,13,21,Mountain West West
118,BAYLOR,0,0.204731227715146,0,9,Big-12
119,SOUTH ALABAMA,0.2,0.204504423873635,45,20.25,Sun Belt
120,BOWLING GREEN,0.166666666666667,0.182838573739642,8,19.4,MAC East
121,KANSAS,0.2,0.160585012122303,22,24.5,Big-12
122,RICE,0.166666666666667,0.155115244479223,17,33,Conference USA West
123,TEXAS STATE,0.166666666666667,0.148029845956687,9,24.8,Sun Belt
124,COASTAL CAROLINA,0.2,0.14114898469663,10,15.75,Sun Belt
125,SAN JOSE ST,0.142857142857143,0.130507308128302,21,35,Mountain West West
126,CHARLOTTE,0,0.122946993575645,0,18.1666666666667,Conference USA East
127,MASSACHUSETTS,0,0.116897106943695,0,7.16666666666667,Independent
128,FCS,0.1,0.111383864287679,11,30.3456790123457,FCS
129,TEXAS-EL PASO,0,0.0670869971528459,0,25.8333333333333,Conference USA West
130,GA SOUTHERN,0,0.0557563405435411,0,24.25,Sun Belt
131,EAST CAROLINA,0,0,0,31.4,AAC-EAST
