10/4/1997,Idaho,30,North Texas,17,13
10/4/1997,Kansas,20,Oklahoma,17,3
10/4/1997,Kentucky,40,Alabama,34,6
10/4/1997,LSU,7,Vanderbilt,6,1
10/4/1997,Louisiana Tech,41,California,34,7
10/4/1997,Maryland,16,Duke,10,6
10/4/1997,Miami OH,24,Virginia Tech,17,7
10/4/1997,Michigan,37,Indiana,0,37
10/4/1997,Michigan St,31,Minnesota,10,21
10/4/1997,Missouri,45,Iowa St,21,24
10/4/1997,Nebraska,56,Kansas St,26,30
10/4/1997,New Mexico,22,SMU,15,7
10/4/1997,North Carolina,31,TCU,10,21
10/4/1997,ULM,17,Northwestern LA,7,10
10/4/1997,Ohio,47,E Michigan,7,40
10/4/1997,Ohio St,23,Iowa,7,16
10/4/1997,Oklahoma St,42,Texas,16,26
10/4/1997,Oregon St,26,San Jose St,12,14
10/4/1997,Penn St,41,Illinois,6,35
10/4/1997,Rice,42,Tulsa,24,18
10/4/1997,USC,35,UNLV,21,14
10/4/1997,Southern Miss,42,Louisville,24,18
10/4/1997,ULL,41,Arkansas St,38,3
10/4/1997,Stanford,33,Notre Dame,15,18
10/4/1997,Syracuse,56,East Carolina,0,56
10/4/1997,Temple,17,Pittsburgh,13,4
10/4/1997,Tennessee,31,Mississippi,17,14
10/4/1997,Texas A&M,16,Colorado,10,6
10/4/1997,Texas Tech,35,Baylor,14,21
10/4/1997,Tulane,41,Army,0,41
10/4/1997,UCLA,66,Houston,10,56
10/4/1997,Virginia,21,Wake Forest,13,8
10/4/1997,Washington,26,Arizona St,14,12
10/4/1997,Washington St,24,Oregon,13,11
10/4/1997,West Virginia,48,Rutgers,0,48
10/4/1997,W Michigan,21,Ball St,13,8
10/4/1997,Wisconsin,26,Northwestern,25,1
10/4/1997,Wyoming,28,Montana,13,15
10/9/1997,Syracuse,50,Rutgers,3,47
10/11/1997,Air Force,10,Navy,7,3
10/11/1997,Arizona,28,Stanford,22,6
10/11/1997,Arizona St,35,USC,7,28
10/11/1997,Auburn,49,Louisiana Tech,13,36
10/11/1997,Boise St,52,New Mexico St,10,42
10/11/1997,UCF,52,Samford,7,45
10/11/1997,Cincinnati,33,UAB,29,4
10/11/1997,Colorado St,55,San Jose St,20,35
10/11/1997,E Michigan,38,Ball St,32,6
10/11/1997,Florida St,51,Duke,27,24
10/11/1997,Georgia Tech,27,NC State,17,10
10/11/1997,Hawaii,28,Fresno St,16,12
10/11/1997,Idaho,44,UC Davis,14,30
10/11/1997,Kansas St,41,Missouri,11,30
10/11/1997,LSU,28,Florida,21,7
10/11/1997,Marshall,52,Akron,17,35
10/11/1997,Memphis,38,Arkansas St,9,29
10/11/1997,Miami OH,62,Kent,26,36
10/11/1997,Michigan,23,Northwestern,6,17
10/11/1997,Michigan St,38,Indiana,6,32
10/11/1997,Mississippi St,24,ULM,10,14
10/11/1997,Nebraska,49,Baylor,21,28
10/11/1997,UNLV,21,TCU,19,2
10/11/1997,New Mexico,36,San Diego St,21,15
10/11/1997,North Alabama,48,ULL,42,6
10/11/1997,North Carolina,30,Wake Forest,12,18
10/11/1997,Notre Dame,45,Pittsburgh,21,24
10/11/1997,Oklahoma St,33,Colorado,29,4
10/11/1997,Oregon St,24,Utah St,16,8
10/11/1997,Penn St,31,Ohio St,27,4
10/11/1997,Purdue,59,Minnesota,43,16
10/11/1997,Rice,27,BYU,14,13
10/11/1997,South Carolina,38,Kentucky,24,14
10/11/1997,SMU,20,Utah,19,1
10/11/1997,Southern Miss,23,East Carolina,13,10
10/11/1997,Tennessee,38,Georgia,13,25
10/11/1997,Texas,27,Oklahoma,24,3
10/11/1997,Texas A&M,56,Iowa St,17,39
10/11/1997,Texas Tech,17,Kansas,7,10
10/11/1997,UTEP,33,Tulsa,18,15
10/11/1997,Toledo,41,C Michigan,10,31
10/11/1997,Tulane,64,Louisville,33,31
10/11/1997,UCLA,39,Oregon,31,8
10/11/1997,Vanderbilt,17,N Illinois,7,10
10/11/1997,Virginia,21,Clemson,7,14
10/11/1997,Virginia Tech,17,Boston College,7,10
10/11/1997,Washington,30,California,3,27
10/11/1997,West Virginia,31,Maryland,14,17
10/11/1997,W Michigan,34,Bowling Green,21,13
10/11/1997,Wisconsin,31,Illinois,7,24
10/11/1997,Wyoming,34,Nevada,30,4
10/18/1997,Arizona St,31,Stanford,14,17
10/18/1997,Army,37,Rutgers,35,2
10/18/1997,Ball St,37,C Michigan,34,3
10/18/1997,Boise St,17,North Texas,14,3
10/18/1997,BYU,17,Hawaii,3,14
10/18/1997,Colorado,42,Kansas,6,36
10/18/1997,Colorado St,14,Wyoming,7,7
10/18/1997,E Michigan,45,Akron,0,45
10/18/1997,Florida,24,Auburn,10,14
10/18/1997,Florida St,38,Georgia Tech,0,38
10/18/1997,Fresno St,20,Air Force,17,3
10/18/1997,Georgia,34,Vanderbilt,13,21
10/18/1997,Houston,41,Cincinnati,38,3
10/18/1997,Kansas St,36,Texas A&M,17,19
10/18/1997,Kentucky,49,ULM,14,35
10/18/1997,Louisiana Tech,42,Arkansas St,14,28
10/18/1997,Miami FL,45,Boston College,44,1
10/18/1997,Miami OH,45,Marshall,21,24
10/18/1997,Michigan,28,Iowa,24,4
10/18/1997,Mississippi,36,LSU,21,15
10/18/1997,Missouri,37,Texas,29,8
10/18/1997,Navy,42,VMI,7,35
10/18/1997,Nebraska,29,Texas Tech,0,29
10/18/1997,Nevada,42,Idaho,23,19
10/18/1997,North Carolina,20,NC State,7,13
10/18/1997,Northwestern,19,Michigan St,17,2
10/18/1997,Ohio,24,Bowling Green,0,24
10/18/1997,Ohio St,31,Indiana,0,31
10/18/1997,Oklahoma,24,Baylor,23,1
10/18/1997,Oregon,31,Utah,13,18
10/18/1997,Penn St,16,Minnesota,15,1
10/18/1997,Purdue,45,Wisconsin,20,25
10/18/1997,Rice,35,New Mexico,23,12
10/18/1997,San Diego St,20,UNLV,17,3
10/18/1997,San Jose St,10,UTEP,7,3
10/18/1997,South Carolina,39,Arkansas,13,26
10/18/1997,USC,20,Notre Dame,17,3
10/18/1997,Syracuse,60,Temple,7,53
